Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication
3803,30,technician,married,tertiary,0,3192,1,0,cellular
3804,33,management,married,tertiary,0,130,0,0,cellular
3805,48,management,married,tertiary,0,0,1,0,cellular
3806,39,services,divorced,secondary,0,892,1,0,other
3807,57,housemaid,married,tertiary,0,2326,0,0,cellular
3808,32,blue-collar,single,secondary,0,551,1,0,cellular
3809,39,management,married,tertiary,0,119,1,0,cellular
3810,38,technician,married,secondary,0,0,1,0,cellular
3811,53,blue-collar,married,secondary,0,380,1,1,cellular
3812,41,blue-collar,married,secondary,0,290,1,0,other
3813,26,admin.,married,secondary,0,1595,0,0,cellular
3814,31,technician,married,tertiary,0,3338,1,0,cellular
3815,54,management,married,tertiary,0,2960,1,0,cellular
3816,29,technician,married,secondary,0,0,1,0,cellular
3817,43,technician,married,primary,0,4844,1,0,cellular
3818,41,services,married,secondary,0,0,1,1,cellular
3819,42,blue-collar,married,primary,0,201,1,0,cellular
3820,28,management,married,secondary,0,3,1,0,cellular
3821,30,services,single,tertiary,0,0,0,0,other
3822,34,management,single,tertiary,0,431,0,0,cellular
3823,41,services,single,secondary,0,92,0,0,cellular
3824,58,self-employed,married,tertiary,0,8014,1,0,other
3825,36,admin.,married,secondary,0,402,1,0,other
3826,57,housemaid,married,primary,0,2234,0,0,other
3827,25,entrepreneur,single,tertiary,0,0,0,0,other
3828,57,self-employed,divorced,tertiary,0,6519,0,0,cellular
3829,27,student,single,secondary,0,2015,0,0,cellular
3830,35,blue-collar,single,secondary,0,0,1,0,cellular
3831,38,blue-collar,married,secondary,0,776,1,0,other
3832,53,entrepreneur,married,secondary,0,0,1,0,telephone
3833,30,admin.,single,secondary,0,81,1,0,cellular
3834,34,technician,married,tertiary,0,3160,1,0,cellular
3835,35,services,married,secondary,0,871,1,0,other
3836,37,blue-collar,married,secondary,0,590,1,0,cellular
3837,51,blue-collar,married,secondary,0,502,0,0,other
3838,95,retired,divorced,primary,0,2282,0,0,telephone
3839,49,services,married,secondary,0,400,0,0,cellular
3840,42,housemaid,married,primary,0,128,0,0,cellular
3841,27,blue-collar,married,,0,409,1,0,cellular
3842,55,technician,married,secondary,0,0,1,1,cellular
3843,49,blue-collar,divorced,secondary,0,848,1,0,other
3844,34,blue-collar,married,,0,245,1,0,other
3845,41,management,married,tertiary,0,328,1,0,cellular
3846,45,management,married,tertiary,0,-114,1,0,cellular
3847,55,services,married,secondary,0,0,0,0,cellular
3848,51,management,married,tertiary,0,346,0,0,cellular
3849,53,self-employed,married,secondary,0,468,1,0,other
3850,41,admin.,divorced,secondary,0,490,1,0,cellular
3851,49,management,married,tertiary,0,2881,0,0,cellular
3852,54,unemployed,married,secondary,0,582,1,0,cellular
3853,27,technician,single,secondary,0,90,0,0,cellular
3854,28,services,married,secondary,0,633,0,1,cellular
3855,28,blue-collar,married,secondary,0,1021,1,0,cellular
3856,42,unemployed,married,primary,1,-581,1,0,cellular
3857,62,retired,married,secondary,0,2917,0,0,cellular
3858,55,services,married,,0,1210,1,0,other
3859,31,technician,single,secondary,0,942,0,0,cellular
3860,38,technician,married,,0,90,1,1,other
3861,28,admin.,single,secondary,0,2,1,0,cellular
3862,55,retired,divorced,secondary,0,-268,0,1,cellular
3863,40,management,married,secondary,0,99,0,0,cellular
3864,24,self-employed,single,tertiary,0,2984,1,0,other
3865,32,management,single,tertiary,0,935,0,0,cellular
3866,36,technician,single,secondary,0,9149,1,0,cellular
3867,32,admin.,married,tertiary,0,653,0,0,cellular
3868,52,admin.,married,secondary,0,531,0,0,other
3869,46,management,married,secondary,0,12186,0,0,other
3870,27,blue-collar,married,secondary,0,4333,0,0,cellular
3871,46,housemaid,single,secondary,0,198,1,0,cellular
3872,33,technician,single,tertiary,0,1636,1,0,cellular
3873,31,services,married,secondary,0,0,1,0,cellular
3874,25,student,single,secondary,0,154,0,0,cellular
3875,27,technician,single,secondary,0,598,1,0,cellular
3876,48,management,married,tertiary,0,342,0,0,other
3877,41,admin.,married,tertiary,0,1536,0,0,cellular
3878,45,admin.,married,secondary,0,149,1,0,other
3879,47,services,married,secondary,0,1123,0,1,cellular
3880,36,management,married,tertiary,0,5367,0,0,cellular
3881,20,student,single,secondary,0,162,0,0,cellular
3882,23,blue-collar,single,secondary,0,492,1,0,other
3883,35,blue-collar,married,tertiary,0,2999,0,0,other
3884,41,blue-collar,married,secondary,0,1384,1,0,other
3885,57,blue-collar,married,primary,0,162,1,0,other
3886,36,management,married,tertiary,0,549,1,0,cellular
3887,48,admin.,married,secondary,0,-509,0,1,cellular
3888,28,services,single,secondary,0,339,0,0,cellular
3889,41,unemployed,single,primary,0,216,0,0,cellular
3890,86,retired,single,secondary,0,614,0,0,telephone
3891,42,unemployed,married,,0,970,1,0,telephone
3892,30,technician,single,secondary,0,958,0,0,cellular
3893,23,blue-collar,married,secondary,0,272,0,0,cellular
3894,47,services,married,secondary,0,367,1,0,cellular
3895,39,technician,married,tertiary,0,1293,0,0,cellular
3896,58,technician,married,secondary,0,3399,0,0,telephone
3897,56,admin.,divorced,secondary,0,985,0,1,cellular
3898,36,admin.,married,secondary,0,1207,1,0,cellular
3899,49,housemaid,married,primary,0,78,0,0,telephone
3900,45,management,married,tertiary,0,31472,0,0,cellular
3901,56,management,divorced,tertiary,0,1263,1,0,cellular
3902,63,entrepreneur,married,primary,0,2287,0,0,telephone
3903,56,entrepreneur,divorced,primary,0,3,0,0,other
3904,32,management,married,tertiary,0,958,1,0,telephone
3905,59,management,single,tertiary,0,684,0,0,cellular
3906,55,technician,married,secondary,0,10185,0,0,cellular
3907,43,technician,married,tertiary,0,591,1,0,cellular
3908,67,retired,divorced,tertiary,0,443,0,0,cellular
3909,35,technician,single,,0,0,0,0,cellular
3910,30,technician,single,tertiary,0,699,1,0,cellular
3911,37,management,divorced,tertiary,0,-42,1,0,cellular
3912,44,technician,married,tertiary,0,4580,1,0,other
3913,23,management,single,tertiary,0,1807,0,0,cellular
3914,31,self-employed,married,tertiary,0,1134,0,0,cellular
3915,46,technician,divorced,tertiary,0,477,1,0,other
3916,25,student,single,secondary,0,3713,0,0,cellular
3917,49,blue-collar,married,primary,0,816,1,0,cellular
3918,49,retired,married,primary,0,-37,0,0,other
3919,51,management,married,tertiary,0,248,1,1,cellular
3920,78,retired,married,tertiary,0,1204,0,0,telephone
3921,40,blue-collar,married,primary,0,2495,1,0,cellular
3922,35,technician,single,tertiary,0,4,1,0,cellular
3923,27,technician,single,secondary,0,2,1,1,cellular
3924,32,services,single,tertiary,0,1743,1,0,cellular
3925,29,services,divorced,secondary,0,-7,1,0,cellular
3926,39,blue-collar,divorced,secondary,0,42,1,0,other
3927,46,technician,married,secondary,0,57,0,0,other
3928,35,admin.,married,secondary,0,2897,0,0,other
3929,69,retired,divorced,primary,0,482,0,0,cellular
3930,60,retired,married,secondary,0,0,0,0,cellular
3931,52,services,divorced,secondary,0,36,1,1,cellular
3932,36,student,single,,0,417,0,0,cellular
3933,26,management,single,tertiary,0,199,1,0,cellular
3934,41,admin.,married,secondary,0,158,1,0,cellular
3935,35,blue-collar,single,secondary,0,907,1,1,other
3936,38,blue-collar,married,primary,0,362,1,0,other
3937,36,blue-collar,married,,0,79,1,0,other
3938,48,self-employed,married,tertiary,0,0,0,0,cellular
3939,19,student,single,secondary,0,96,0,0,cellular
3940,59,admin.,married,secondary,0,1675,0,1,cellular
3941,43,management,single,tertiary,0,1046,0,0,other
3942,27,blue-collar,single,secondary,1,-3,1,0,other
3943,33,technician,married,secondary,0,133,0,0,cellular
3944,54,management,married,tertiary,1,153,0,0,other
3945,45,entrepreneur,married,,0,3133,1,1,cellular
3946,30,entrepreneur,single,tertiary,0,-63,1,0,other
3947,52,services,married,primary,0,306,1,0,cellular
3948,40,admin.,married,secondary,0,260,1,0,cellular
3949,44,blue-collar,married,secondary,0,3348,0,1,cellular
3950,44,housemaid,single,primary,0,1059,0,0,other
3951,47,management,married,secondary,0,794,1,1,cellular
3952,35,services,married,secondary,0,2135,0,0,other
3953,53,entrepreneur,married,tertiary,0,0,0,0,cellular
3954,49,admin.,married,secondary,0,10250,1,0,telephone
3955,33,technician,single,tertiary,0,538,1,0,other
3956,40,management,divorced,tertiary,0,205,0,0,cellular
3957,32,management,married,tertiary,0,2516,0,0,cellular
3958,40,self-employed,married,secondary,0,0,1,0,cellular
3959,31,admin.,married,secondary,0,35,0,0,cellular
3960,49,admin.,married,secondary,0,880,1,1,cellular
3961,34,admin.,divorced,secondary,0,-251,0,0,cellular
3962,45,management,married,tertiary,0,7154,1,0,cellular
3963,58,entrepreneur,married,tertiary,0,925,1,0,cellular
3964,56,housemaid,divorced,primary,1,1238,0,0,other
3965,38,technician,single,secondary,0,1655,0,0,cellular
3966,65,retired,married,primary,0,1004,0,0,cellular
3967,48,housemaid,married,secondary,0,0,0,0,cellular
3968,46,services,married,secondary,0,4780,1,0,other
3969,35,management,married,tertiary,0,1383,0,0,cellular
3970,38,management,divorced,primary,0,2064,1,0,cellular
3971,68,retired,married,secondary,0,445,0,0,cellular
3972,32,admin.,divorced,secondary,0,410,1,0,cellular
3973,31,services,single,secondary,0,222,1,0,cellular
3974,54,blue-collar,divorced,secondary,0,1613,1,0,cellular
3975,39,management,single,tertiary,0,763,0,0,cellular
3976,28,blue-collar,single,secondary,0,4229,1,1,cellular
3977,32,blue-collar,married,primary,0,1261,1,0,other
3978,36,admin.,married,secondary,0,3268,0,0,cellular
3979,44,technician,divorced,secondary,0,982,1,0,other
3980,34,management,married,tertiary,0,0,0,0,cellular
3981,49,blue-collar,single,primary,0,87,1,0,telephone
3982,33,entrepreneur,single,tertiary,0,484,1,0,cellular
3983,53,technician,married,secondary,0,4930,0,1,cellular
3984,37,management,single,secondary,0,0,1,1,cellular
3985,28,services,single,secondary,0,2954,1,0,other
3986,40,technician,married,primary,0,644,1,0,cellular
3987,29,technician,single,secondary,0,382,0,0,cellular
3988,27,admin.,married,tertiary,0,2855,0,0,cellular
3989,78,retired,divorced,secondary,0,631,0,0,telephone
3990,32,housemaid,married,primary,0,91,1,0,cellular
3991,27,technician,single,secondary,0,126,1,1,cellular
3992,55,unemployed,single,tertiary,0,1513,1,0,other
3993,34,technician,married,secondary,0,0,1,0,cellular
3994,42,technician,single,secondary,0,417,0,0,cellular
3995,48,blue-collar,married,secondary,0,1,0,0,other
3996,28,technician,single,tertiary,0,0,1,0,cellular
3997,49,admin.,divorced,secondary,0,124,1,1,cellular
3998,27,admin.,single,secondary,0,-400,0,1,cellular
3999,36,entrepreneur,single,tertiary,0,658,1,0,cellular
4000,45,services,married,primary,0,137,1,0,other
