Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,CallDurationSecs,CardInsurance
41,32,management,married,secondary,0,3935,1,0,other,57,0
42,40,blue-collar,married,secondary,0,327,1,0,other,59,0
43,35,management,single,tertiary,0,2707,0,0,cellular,816,1
44,40,admin.,married,secondary,0,2574,1,0,cellular,505,1
45,60,management,married,tertiary,0,70,0,0,cellular,42,0
46,35,blue-collar,single,secondary,0,0,1,0,other,50,0
47,42,management,divorced,secondary,0,283,1,0,cellular,889,1
48,79,retired,divorced,primary,0,79,0,0,cellular,1292,1
49,46,admin.,single,secondary,0,13,0,0,other,31,0
50,33,technician,divorced,secondary,0,464,0,0,cellular,242,0
51,54,services,divorced,,0,0,1,0,cellular,307,0
52,46,housemaid,married,primary,0,17,0,0,other,32,0
53,47,self-employed,married,secondary,0,4420,1,1,cellular,530,1
54,78,retired,married,,0,3208,0,0,telephone,351,1
55,31,blue-collar,married,secondary,0,326,0,1,cellular,145,0
56,39,services,married,secondary,0,52,0,0,telephone,1420,1
57,31,admin.,married,secondary,0,457,1,0,cellular,331,0
58,46,entrepreneur,divorced,secondary,0,1187,0,1,cellular,107,0
59,34,management,single,,0,6013,1,0,cellular,715,1
60,52,unemployed,married,secondary,0,5091,0,0,cellular,361,0
61,36,management,divorced,tertiary,0,0,0,0,cellular,95,0
62,39,entrepreneur,married,secondary,0,11887,0,0,cellular,1379,1
63,18,student,single,primary,0,608,0,0,cellular,312,1
64,60,services,married,secondary,0,-46,0,0,other,58,0
65,36,services,single,secondary,0,0,1,0,cellular,1170,1
66,57,management,married,tertiary,0,473,0,0,cellular,345,1
67,28,blue-collar,single,secondary,0,1955,0,0,cellular,29,0
68,30,management,married,tertiary,0,860,1,0,cellular,216,0
69,41,blue-collar,married,secondary,0,2689,1,0,cellular,158,1
70,58,management,married,tertiary,0,3768,1,0,other,139,0
71,23,housemaid,married,tertiary,0,66,1,0,cellular,1625,1
72,29,admin.,married,secondary,0,494,1,0,other,150,0
73,25,technician,single,secondary,0,1298,0,0,cellular,241,0
74,39,blue-collar,married,secondary,0,0,1,0,other,92,0
75,45,technician,divorced,tertiary,0,0,0,0,cellular,68,0
76,55,technician,divorced,secondary,0,3450,0,0,cellular,197,1
77,32,technician,married,tertiary,0,903,1,0,cellular,211,0
78,36,management,married,tertiary,0,722,1,0,other,137,0
79,34,management,single,tertiary,0,11350,1,0,cellular,179,0
80,39,technician,single,secondary,0,556,1,0,other,141,0
81,49,admin.,single,secondary,0,716,1,0,other,551,1
82,37,technician,married,tertiary,0,143,0,0,cellular,67,0
83,47,blue-collar,married,secondary,0,802,1,1,cellular,338,1
84,49,retired,single,primary,0,25824,0,0,other,41,0
85,49,unemployed,married,primary,0,518,0,0,cellular,2239,1
86,34,admin.,divorced,secondary,0,0,0,0,cellular,313,0
87,40,blue-collar,married,secondary,1,-94,1,1,other,100,0
88,33,services,married,secondary,0,210,1,0,cellular,1410,1
89,40,admin.,single,secondary,0,60,1,0,cellular,537,0
90,41,entrepreneur,single,secondary,0,663,0,0,cellular,1406,1
91,56,management,married,tertiary,0,830,1,1,other,527,1
92,33,blue-collar,single,secondary,0,-147,1,0,other,286,0
93,43,blue-collar,divorced,primary,0,6,1,0,other,49,0
94,46,services,divorced,secondary,0,1263,1,0,telephone,220,0
95,39,blue-collar,married,secondary,0,293,1,0,other,70,0
96,44,management,married,tertiary,0,446,0,0,cellular,74,0
97,48,management,divorced,tertiary,0,657,0,1,cellular,293,0
98,39,blue-collar,single,tertiary,0,48,0,0,cellular,630,1
99,46,blue-collar,married,primary,0,3969,0,0,telephone,46,0
100,19,student,single,primary,0,103,0,0,cellular,207,0
101,36,management,married,tertiary,0,753,0,0,cellular,89,0
102,43,technician,married,secondary,0,3285,1,0,other,755,1
103,46,technician,married,secondary,0,9299,0,0,cellular,1341,1
104,56,retired,married,primary,0,9367,0,0,cellular,721,1
105,57,management,married,secondary,0,7162,0,0,cellular,97,0
106,33,technician,married,tertiary,0,1699,0,0,cellular,701,1
107,41,admin.,married,secondary,0,437,1,0,cellular,161,0
108,31,management,married,tertiary,0,69,0,0,cellular,228,0
109,52,management,married,tertiary,0,388,0,0,cellular,318,1
110,48,blue-collar,single,secondary,0,339,0,1,telephone,123,0
111,55,blue-collar,married,secondary,0,49,1,0,cellular,577,1
112,50,technician,married,secondary,0,3370,0,0,cellular,187,1
113,33,blue-collar,single,secondary,0,-366,1,0,other,36,0
114,31,management,married,tertiary,0,2667,1,0,cellular,85,0
115,33,admin.,married,tertiary,0,899,1,0,other,70,0
116,31,management,married,tertiary,0,1331,0,0,cellular,347,1
117,37,services,married,secondary,0,4151,1,1,cellular,634,1
118,62,retired,married,secondary,0,569,0,0,cellular,110,1
119,33,management,married,tertiary,0,1514,0,0,cellular,522,1
120,40,management,married,tertiary,1,0,0,0,cellular,193,0
121,37,technician,single,tertiary,0,6101,0,0,cellular,165,1
122,46,management,divorced,tertiary,0,461,0,0,cellular,431,1
123,64,entrepreneur,married,tertiary,0,2331,0,0,telephone,201,1
124,43,unemployed,married,primary,0,519,0,0,other,427,1
125,57,blue-collar,married,primary,0,3109,0,0,cellular,125,1
126,58,retired,divorced,primary,0,11,0,1,cellular,188,0
127,32,technician,divorced,tertiary,0,53,0,0,cellular,784,1
128,43,blue-collar,married,secondary,0,699,1,1,cellular,1469,1
129,30,student,single,tertiary,0,3300,0,0,cellular,1835,1
130,45,admin.,married,secondary,0,251,1,0,cellular,119,0
131,56,management,married,tertiary,0,318,0,1,telephone,246,0
132,44,management,married,,0,2724,0,0,cellular,1043,1
133,61,management,married,tertiary,0,5157,0,0,cellular,505,0
134,37,technician,divorced,tertiary,0,1762,1,0,cellular,361,0
135,56,retired,married,secondary,0,343,0,1,cellular,90,0
136,46,admin.,married,secondary,0,368,0,0,cellular,342,1
137,39,management,divorced,tertiary,0,1968,0,0,cellular,757,1
138,27,services,single,secondary,0,302,0,0,cellular,237,1
139,33,blue-collar,single,primary,0,60,1,0,cellular,86,0
140,52,technician,married,tertiary,0,0,0,0,cellular,169,0
141,45,blue-collar,married,secondary,0,3092,1,1,cellular,210,0
142,30,unemployed,single,secondary,0,1058,0,0,cellular,602,0
143,46,services,married,secondary,0,53,0,1,cellular,36,0
144,32,services,single,secondary,0,-402,1,0,cellular,158,0
145,62,entrepreneur,married,secondary,0,3904,0,0,telephone,403,1
146,24,student,single,secondary,0,1123,0,0,cellular,555,1
147,47,management,single,tertiary,0,159,0,0,telephone,220,1
148,32,blue-collar,single,secondary,0,5,1,1,other,59,0
149,38,blue-collar,married,primary,0,3289,0,0,other,243,0
150,36,technician,single,tertiary,0,391,1,0,cellular,216,0
151,57,management,divorced,,0,854,0,0,cellular,818,1
152,73,retired,divorced,secondary,0,7111,1,0,cellular,171,1
153,55,technician,divorced,tertiary,0,0,1,0,other,103,0
154,57,blue-collar,married,primary,0,3109,0,0,cellular,563,1
155,25,unemployed,single,primary,0,129,0,0,cellular,206,1
156,62,retired,married,secondary,0,569,0,0,cellular,336,1
157,45,technician,married,secondary,0,4466,1,0,other,48,0
158,56,blue-collar,married,secondary,0,1521,1,1,cellular,22,0
159,33,management,single,tertiary,0,8038,1,0,cellular,70,0
160,45,blue-collar,single,primary,0,116,0,0,other,54,1
161,63,blue-collar,married,secondary,0,641,0,0,cellular,487,1
162,57,retired,married,secondary,0,2020,0,0,other,41,0
163,60,retired,married,secondary,0,208,0,0,cellular,82,0
164,61,self-employed,divorced,tertiary,0,52587,0,0,cellular,460,1
165,56,blue-collar,married,secondary,0,2561,0,0,other,6,0
166,26,blue-collar,single,secondary,0,82,1,0,other,287,1
167,58,unemployed,divorced,secondary,0,729,0,1,cellular,70,0
168,46,services,married,secondary,0,273,0,0,cellular,660,1
169,28,management,single,secondary,0,2840,0,0,cellular,265,1
170,57,technician,married,secondary,0,253,0,1,other,101,0
171,36,technician,single,secondary,0,2921,0,0,telephone,55,0
172,44,blue-collar,married,secondary,0,16178,1,0,cellular,347,0
173,54,services,divorced,secondary,0,0,0,0,cellular,423,1
174,38,technician,married,secondary,0,557,1,0,cellular,1817,1
175,34,management,single,tertiary,0,4348,1,0,cellular,436,0
176,27,services,single,secondary,0,683,1,0,other,19,0
177,29,self-employed,single,tertiary,0,1579,0,0,cellular,222,1
178,31,blue-collar,married,tertiary,0,2827,1,0,other,104,0
179,50,technician,divorced,secondary,0,0,0,0,cellular,186,1
180,60,retired,married,tertiary,0,108,0,0,cellular,729,1
181,32,services,married,secondary,0,243,1,1,other,63,0
182,36,services,married,secondary,0,-27,1,1,cellular,176,0
183,45,admin.,married,secondary,0,205,0,0,cellular,645,1
184,40,technician,divorced,tertiary,0,0,0,0,other,229,1
185,38,technician,married,secondary,0,497,0,0,other,76,1
186,30,management,single,tertiary,0,985,1,0,cellular,355,1
187,31,management,married,tertiary,0,3739,0,0,cellular,137,0
188,28,management,single,tertiary,0,6784,0,0,cellular,586,1
189,49,blue-collar,divorced,primary,0,-9,1,1,other,171,0
190,34,self-employed,married,tertiary,0,0,0,0,cellular,853,1
191,51,blue-collar,divorced,secondary,0,113,0,0,cellular,83,0
192,35,unemployed,divorced,primary,0,118,0,0,other,5,0
193,41,student,single,secondary,0,595,1,0,other,10,0
194,49,housemaid,married,primary,0,0,0,0,telephone,106,0
195,33,management,single,tertiary,0,3143,0,0,cellular,492,1
196,53,admin.,married,secondary,0,53,1,0,cellular,452,1
197,45,management,married,tertiary,0,1447,1,1,cellular,538,0
198,36,self-employed,divorced,tertiary,0,6385,1,0,cellular,82,0
199,43,management,married,tertiary,0,3186,0,0,cellular,444,1
200,31,blue-collar,married,primary,0,290,1,0,cellular,173,0
201,56,blue-collar,married,primary,0,8163,0,0,cellular,1438,1
202,48,admin.,married,secondary,0,13551,0,0,other,39,0
203,40,technician,single,tertiary,0,431,0,0,cellular,210,1
204,60,admin.,married,secondary,0,711,0,0,cellular,415,0
205,45,admin.,married,secondary,0,0,0,0,cellular,132,0
206,45,technician,single,,0,7108,1,1,other,532,0
207,55,technician,divorced,secondary,1,4,0,0,cellular,1224,1
208,41,blue-collar,married,primary,0,3658,1,0,cellular,313,0
209,46,management,married,tertiary,0,699,0,0,cellular,1133,1
210,41,entrepreneur,married,secondary,0,8491,1,0,cellular,1085,1
211,51,admin.,married,secondary,0,423,1,1,cellular,98,0
212,55,technician,divorced,tertiary,0,0,0,0,cellular,157,1
213,34,services,married,secondary,0,790,1,0,cellular,676,0
214,40,admin.,married,secondary,0,341,0,0,cellular,1334,1
215,31,unemployed,single,secondary,0,582,1,0,cellular,640,1
216,32,management,single,tertiary,0,623,0,0,cellular,391,1
217,37,services,single,secondary,0,1045,0,0,cellular,352,0
218,31,services,married,secondary,0,0,1,0,cellular,262,0
219,56,retired,married,tertiary,0,281,0,0,cellular,112,1
220,26,blue-collar,single,primary,0,-295,1,0,cellular,161,0
221,45,management,married,tertiary,0,160,0,0,cellular,213,1
222,32,management,married,secondary,0,134,1,1,cellular,621,1
223,41,management,married,tertiary,0,472,1,0,cellular,915,0
224,28,blue-collar,married,secondary,0,-95,1,0,other,88,0
225,42,blue-collar,married,secondary,0,0,1,0,cellular,96,0
226,46,technician,married,secondary,0,179,0,1,other,57,0
227,55,retired,divorced,tertiary,0,0,0,0,cellular,720,1
228,26,student,single,tertiary,0,641,1,0,cellular,64,0
229,29,management,single,tertiary,0,3041,1,0,cellular,708,1
230,40,management,divorced,tertiary,0,502,1,0,cellular,312,0
231,29,management,single,tertiary,0,2531,0,0,cellular,741,1
232,33,technician,married,secondary,0,218,1,1,cellular,189,0
233,43,technician,single,,0,11115,0,0,cellular,556,1
234,31,technician,married,secondary,0,-119,1,0,cellular,11,0
235,27,technician,single,secondary,0,158,0,0,other,285,1
236,40,entrepreneur,married,tertiary,0,70,0,0,cellular,67,0
237,58,admin.,married,secondary,0,3735,0,0,cellular,106,0
238,41,management,married,tertiary,0,8553,1,0,cellular,355,0
239,40,technician,married,secondary,0,84,1,0,cellular,139,0
240,41,,single,,0,942,0,0,cellular,167,1
241,49,management,married,tertiary,0,68,1,1,other,72,0
242,41,technician,married,secondary,0,459,1,0,other,45,0
243,57,technician,married,secondary,0,1070,0,0,other,32,0
244,59,retired,married,primary,0,3400,1,0,cellular,602,1
245,48,blue-collar,married,secondary,0,1730,1,0,cellular,571,1
246,46,technician,married,secondary,0,6993,1,0,cellular,381,0
247,44,blue-collar,married,,0,1529,1,0,cellular,405,1
248,48,management,divorced,tertiary,0,-547,0,0,cellular,321,0
249,33,technician,married,secondary,0,168,1,0,other,104,0
250,33,admin.,divorced,tertiary,0,891,0,0,cellular,465,1
251,37,management,single,tertiary,0,-119,1,0,other,165,0
252,39,blue-collar,married,,0,1181,1,0,cellular,759,1
253,39,self-employed,married,tertiary,0,2630,0,0,other,286,1
254,24,unemployed,single,secondary,0,2696,0,0,cellular,125,0
255,58,blue-collar,married,primary,0,0,1,0,cellular,6,0
256,46,management,divorced,tertiary,0,-130,1,0,cellular,168,1
257,39,services,single,secondary,0,-244,1,0,other,67,0
258,36,blue-collar,married,primary,0,711,1,0,other,68,0
259,43,blue-collar,married,secondary,0,184,0,1,cellular,1190,1
260,35,blue-collar,single,tertiary,0,1830,0,0,cellular,194,0
261,48,blue-collar,married,primary,0,649,0,0,other,60,0
262,48,technician,married,secondary,0,480,0,1,cellular,433,0
263,41,blue-collar,married,secondary,1,720,0,1,cellular,760,1
264,34,admin.,married,secondary,0,-33,1,1,cellular,1122,1
265,32,entrepreneur,married,tertiary,0,762,0,0,cellular,218,1
266,51,admin.,married,secondary,0,1415,1,0,other,66,0
267,47,self-employed,married,,0,14,1,0,cellular,166,0
268,44,services,married,secondary,0,742,0,0,telephone,77,0
269,66,technician,married,secondary,0,0,0,0,cellular,877,1
270,61,blue-collar,married,primary,0,5,0,0,cellular,656,1
271,41,blue-collar,married,secondary,0,114,1,0,other,36,0
272,38,entrepreneur,married,secondary,0,3249,1,0,other,168,0
273,54,housemaid,married,tertiary,0,440,0,0,cellular,104,0
274,48,unemployed,divorced,secondary,0,201,0,0,cellular,474,1
275,44,management,single,tertiary,0,1090,0,0,cellular,238,1
276,50,technician,married,secondary,0,-584,0,0,cellular,88,0
277,55,technician,married,secondary,0,2055,1,0,other,449,0
278,34,management,married,tertiary,0,697,0,0,cellular,194,0
279,50,housemaid,divorced,primary,0,120,1,0,cellular,116,0
280,34,blue-collar,married,secondary,1,1,1,0,cellular,460,0
281,29,blue-collar,married,secondary,0,76,1,0,cellular,231,0
282,46,management,married,secondary,1,-333,0,1,cellular,697,0
283,58,self-employed,divorced,tertiary,0,1382,0,0,other,307,1
284,33,services,married,secondary,0,804,1,1,other,117,0
285,33,management,single,tertiary,0,87,0,0,cellular,1142,1
286,60,retired,divorced,secondary,0,514,0,0,cellular,218,1
287,45,blue-collar,married,secondary,0,0,0,0,cellular,251,0
288,31,student,single,tertiary,0,4951,0,0,cellular,333,1
289,47,services,married,secondary,0,1160,1,0,cellular,137,0
290,39,entrepreneur,married,tertiary,0,0,0,0,cellular,82,0
291,32,blue-collar,single,secondary,0,799,0,1,cellular,2427,1
292,52,unemployed,married,secondary,0,105,0,0,cellular,112,0
293,30,admin.,married,secondary,0,166,0,0,other,13,0
294,37,blue-collar,married,secondary,0,903,1,0,cellular,145,0
295,47,services,married,secondary,0,0,0,1,other,22,0
296,34,admin.,single,tertiary,0,64,1,0,cellular,89,0
297,20,student,single,,0,457,0,0,cellular,250,0
298,25,self-employed,single,tertiary,0,42,1,0,cellular,174,1
299,25,admin.,single,tertiary,0,220,0,0,cellular,79,0
300,23,services,single,secondary,0,279,1,0,cellular,985,1
301,48,entrepreneur,divorced,tertiary,0,275,0,1,other,15,0
302,35,management,married,tertiary,0,0,0,0,cellular,509,0
303,30,management,single,tertiary,0,2344,1,0,cellular,369,0
304,35,management,married,tertiary,0,8,0,0,cellular,109,1
305,37,management,married,tertiary,0,3737,0,0,cellular,262,1
306,35,technician,single,tertiary,0,147,0,0,cellular,157,0
307,44,entrepreneur,married,tertiary,0,1631,1,0,other,152,0
308,30,student,single,secondary,0,1779,0,0,cellular,272,1
309,32,management,single,tertiary,0,933,1,0,cellular,172,0
310,19,student,single,secondary,0,394,0,0,cellular,382,1
311,58,retired,married,secondary,0,1227,0,0,cellular,324,0
312,29,management,married,tertiary,0,805,0,0,cellular,82,0
313,25,student,single,,0,722,0,0,telephone,623,1
314,40,management,married,tertiary,0,0,1,0,cellular,326,0
315,31,technician,single,secondary,0,46,0,0,cellular,366,0
316,47,admin.,divorced,secondary,0,555,1,1,telephone,478,1
317,59,services,divorced,secondary,0,1,1,0,cellular,703,1
318,42,blue-collar,married,secondary,0,3,1,0,telephone,47,0
319,59,management,divorced,tertiary,0,17056,1,0,cellular,549,0
320,38,technician,single,secondary,0,1255,1,0,cellular,140,0
321,33,services,married,secondary,0,386,0,0,cellular,296,1
322,30,blue-collar,single,secondary,0,0,1,0,other,2,0
323,31,self-employed,married,tertiary,0,94,0,0,cellular,676,1
324,52,admin.,divorced,secondary,0,725,1,0,cellular,67,0
325,47,blue-collar,married,secondary,0,1568,1,0,cellular,453,1
326,27,self-employed,single,secondary,0,152,0,0,cellular,93,0
327,56,technician,married,secondary,0,28,1,0,other,104,0
328,31,technician,single,tertiary,0,438,1,0,cellular,193,0
329,77,retired,married,primary,0,29340,0,0,cellular,300,1
330,29,management,single,secondary,0,-105,1,0,other,2,0
331,27,blue-collar,single,secondary,0,535,0,0,cellular,310,1
332,44,blue-collar,married,secondary,0,797,1,0,cellular,287,0
333,61,management,married,secondary,0,985,0,0,cellular,1166,1
334,46,management,divorced,tertiary,0,1297,0,0,cellular,836,1
335,26,blue-collar,single,secondary,0,-46,1,0,other,168,1
336,53,management,married,,0,2240,1,0,cellular,329,1
337,20,student,single,,0,829,0,0,cellular,296,1
338,29,technician,single,secondary,0,110,1,0,cellular,1210,1
339,38,admin.,married,secondary,0,47,1,0,cellular,336,1
340,35,blue-collar,single,secondary,0,885,1,0,cellular,738,1
341,46,services,divorced,secondary,0,0,0,0,other,449,1
342,32,blue-collar,married,secondary,0,536,1,0,other,91,0
343,52,technician,married,secondary,0,137,0,0,cellular,265,1
344,26,technician,single,tertiary,0,170,1,0,cellular,568,0
345,33,services,divorced,secondary,0,-297,1,0,other,71,0
346,30,technician,single,secondary,0,53,1,0,cellular,411,0
347,48,technician,single,secondary,0,1245,0,0,cellular,197,0
348,36,technician,married,secondary,0,480,0,0,cellular,249,1
349,35,management,single,tertiary,0,1750,1,0,cellular,389,1
350,35,services,married,secondary,0,5,0,0,cellular,179,0
351,31,technician,married,secondary,0,4182,1,0,cellular,405,1
352,39,blue-collar,divorced,secondary,0,241,1,0,cellular,137,0
353,33,self-employed,married,secondary,0,49,1,0,cellular,199,0
354,57,retired,married,tertiary,0,0,0,0,cellular,135,0
355,30,technician,single,secondary,0,458,0,0,cellular,60,0
356,40,blue-collar,single,secondary,0,1101,1,0,other,94,0
357,36,blue-collar,married,tertiary,0,9,1,0,other,49,0
358,36,blue-collar,single,primary,0,49,1,0,other,178,0
359,32,management,married,secondary,0,625,1,0,cellular,411,0
360,37,admin.,married,secondary,0,1110,1,0,telephone,802,1
361,44,blue-collar,married,secondary,0,138,1,0,other,124,0
362,27,student,single,secondary,0,3,0,0,cellular,153,0
363,50,blue-collar,married,primary,0,180,1,0,cellular,123,0
364,34,management,single,tertiary,0,5086,0,0,cellular,249,1
365,57,management,married,primary,0,1052,1,0,other,100,0
366,40,services,married,,0,0,0,0,cellular,77,0
367,32,blue-collar,single,secondary,0,322,1,0,cellular,272,0
368,33,technician,single,secondary,0,647,1,1,cellular,145,0
369,49,blue-collar,divorced,secondary,0,10613,0,1,cellular,1432,1
370,54,technician,divorced,secondary,0,136,0,1,cellular,176,0
371,34,technician,single,tertiary,0,612,0,0,cellular,106,0
372,28,unemployed,single,secondary,0,434,1,0,cellular,300,0
373,32,services,single,secondary,0,1168,1,0,cellular,480,1
374,41,admin.,divorced,secondary,0,4,1,0,cellular,271,0
375,23,student,single,secondary,0,480,0,0,cellular,867,1
376,64,retired,married,secondary,0,4787,0,0,cellular,458,1
377,38,blue-collar,married,secondary,0,2685,0,0,other,10,0
378,26,admin.,single,secondary,0,187,0,0,cellular,264,0
379,38,technician,married,tertiary,0,216,0,0,cellular,165,0
380,53,services,married,secondary,0,-363,1,0,cellular,235,0
381,40,technician,divorced,secondary,0,93,0,0,cellular,144,0
382,39,services,married,secondary,0,3870,1,0,cellular,84,0
383,62,retired,married,secondary,0,298,0,0,cellular,828,1
384,35,technician,married,secondary,0,249,0,0,cellular,239,0
385,32,technician,single,tertiary,0,0,1,1,cellular,514,1
386,57,admin.,married,secondary,0,1216,1,0,other,112,0
387,35,housemaid,married,tertiary,0,1265,1,0,cellular,381,1
388,45,blue-collar,single,secondary,0,143,0,0,other,88,0
389,30,services,single,primary,0,0,1,1,cellular,801,1
390,36,services,married,secondary,0,4721,0,0,cellular,174,1
391,30,blue-collar,single,secondary,0,5909,1,0,cellular,491,1
392,33,admin.,married,secondary,0,1737,0,0,cellular,266,0
393,60,blue-collar,married,primary,0,1262,1,1,other,445,1
394,48,unemployed,married,primary,0,1849,1,0,other,151,0
395,24,management,married,,0,448,0,0,cellular,378,1
396,53,unemployed,divorced,secondary,0,0,0,0,other,44,0
397,32,technician,married,secondary,0,221,1,0,other,98,0
398,26,management,single,tertiary,0,157,1,0,cellular,91,0
399,34,blue-collar,divorced,secondary,0,882,0,1,telephone,24,0
400,31,admin.,single,secondary,0,3950,1,0,cellular,618,1
401,38,blue-collar,married,secondary,0,814,1,0,cellular,357,0
402,51,blue-collar,divorced,primary,0,-19,1,0,cellular,968,1
403,36,management,married,tertiary,0,0,1,0,cellular,360,1
404,24,admin.,single,tertiary,0,674,1,0,cellular,312,1
405,27,admin.,divorced,secondary,0,451,1,0,cellular,762,1
406,77,retired,married,,0,992,0,0,cellular,172,0
407,31,management,single,tertiary,0,0,0,0,cellular,284,0
408,45,services,divorced,secondary,0,608,1,1,cellular,1326,1
409,33,services,married,secondary,0,387,1,0,cellular,382,0
410,40,admin.,married,secondary,0,4775,0,0,cellular,251,1
411,35,management,single,tertiary,0,62,1,0,cellular,250,0
412,51,management,married,tertiary,0,2704,1,0,telephone,443,0
413,41,blue-collar,married,primary,0,-75,1,0,cellular,134,0
414,35,management,single,tertiary,0,-324,0,1,cellular,1151,1
415,71,retired,divorced,primary,0,1729,0,0,cellular,533,1
416,55,unemployed,divorced,secondary,0,387,1,0,other,403,1
417,42,management,divorced,tertiary,0,9,1,0,cellular,595,0
418,29,management,married,tertiary,0,0,1,0,cellular,779,1
419,33,blue-collar,single,,0,129,1,1,cellular,563,1
420,32,admin.,single,secondary,0,678,1,0,cellular,1844,1
421,51,management,married,tertiary,0,19313,0,0,telephone,36,0
422,32,management,single,tertiary,0,2551,1,0,cellular,745,1
423,64,retired,married,,0,2923,0,0,cellular,140,0
424,32,blue-collar,married,primary,0,0,1,0,cellular,152,0
425,54,blue-collar,divorced,primary,0,2062,1,0,other,192,0
426,38,management,married,tertiary,0,119,1,0,other,249,1
427,26,technician,single,secondary,0,1231,1,0,cellular,269,1
428,58,management,divorced,tertiary,0,108,0,0,cellular,270,0
429,33,management,married,tertiary,0,1047,0,0,cellular,598,1
430,29,housemaid,single,tertiary,0,19,0,0,cellular,320,1
431,31,admin.,married,secondary,0,33,1,0,cellular,339,0
432,35,technician,single,secondary,0,204,1,0,cellular,276,1
433,45,admin.,married,secondary,0,0,0,1,telephone,533,1
434,34,management,single,tertiary,0,808,0,0,cellular,439,0
435,33,admin.,single,tertiary,0,272,1,0,cellular,342,1
436,32,services,married,secondary,0,983,1,0,cellular,584,1
437,53,technician,married,tertiary,0,3177,0,0,cellular,107,0
438,45,blue-collar,married,secondary,0,-258,1,0,telephone,384,0
439,40,blue-collar,married,primary,0,669,1,0,other,71,0
440,45,blue-collar,married,primary,0,121,0,0,cellular,109,0
441,43,management,married,tertiary,0,62,1,0,cellular,248,0
442,39,housemaid,married,primary,0,34,1,0,cellular,440,0
443,31,technician,single,tertiary,0,208,0,0,cellular,1570,1
444,53,blue-collar,married,primary,0,0,0,0,cellular,228,0
445,32,management,divorced,tertiary,0,948,0,0,cellular,238,0
446,42,management,married,tertiary,0,2,1,1,telephone,336,0
447,41,technician,single,secondary,0,169,1,0,cellular,135,0
448,35,blue-collar,married,secondary,0,913,1,0,cellular,862,0
449,27,student,single,secondary,0,0,0,0,other,41,0
450,34,technician,married,secondary,0,1072,0,1,cellular,159,0
451,46,technician,married,secondary,0,2149,1,0,cellular,329,1
452,46,management,married,secondary,0,1299,1,0,cellular,121,0
453,45,unemployed,divorced,secondary,0,728,1,1,cellular,125,0
454,26,blue-collar,single,secondary,0,24,1,0,other,79,0
455,42,management,married,,0,1519,0,0,cellular,313,1
456,69,retired,married,secondary,0,0,0,0,cellular,215,1
457,30,blue-collar,single,secondary,0,799,0,0,other,296,1
458,42,management,married,tertiary,0,36,0,0,cellular,776,1
459,30,admin.,married,tertiary,0,631,0,0,cellular,342,0
460,35,admin.,married,tertiary,0,286,0,0,cellular,1108,1
461,38,management,married,tertiary,0,536,1,0,cellular,290,1
462,27,blue-collar,single,primary,0,265,1,0,cellular,1307,1
